,ActiveIngredients,List,Product,TherapeuticClass,ATC,PharmaceuticalForm,Status
0,METRONIDAZOLE 320 milligram(s)/5 millilitre,['metronidazole'],Norzol 200mg/5ml oral suspension,STOMATOLOGICAL PREPARATIONS,A01AB17,"ORAL DROPS, SUSPENSION",Withdrawn
1,OMEPRAZOLE 20 milligram(s),['omeprazole'],Medoprazole,DRUGS FOR ACID RELATED DISORDERS,A02BC01,CAPSULE,Authorised
2,OMEPRAZOLE 10 milligram(s),['omeprazole'],Losec MUPS Tablets Gastro-Resistant 10mg,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT TABLET,Withdrawn
3,OMEPRAZOLE 20 milligram(s),['omeprazole'],Losec MUPS Tablets Gastro-Resistant 20mg,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT TABLET,Withdrawn
4,OMEPRAZOLE 20 milligram(s),['omeprazole'],"Omeprazole 20mg gastro-resistant capsules, hard",DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Withdrawn
5,OMEPRAZOLE 40 milligram(s),['omeprazole'],"Omeprazole 40mg gastro-resistant capsules, hard",DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Withdrawn
6,OMEPRAZOLE 10 milligram(s),['omeprazole'],Omeprazole Aristo 10mg Gastro-Resistant Tablets,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT CAPSULE,Withdrawn
7,OMEPRAZOLE 20 milligram(s),['omeprazole'],Omeprazole Aristo 20mg Gastro-Resistant Tablets,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT CAPSULE,Withdrawn
8,OMEPRAZOLE 40 milligram(s),['omeprazole'],Omeprazole Aristo 40mg Gastro-Resistant Tablets,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT CAPSULE,Withdrawn
9,OMEPRAZOLE 20 milligram(s),['omeprazole'],Omeprazole Capsules 20mg,DRUGS FOR ACID RELATED DISORDERS,A02BC01,HARD CAPSULE,Withdrawn
10,OMEPRAZOLE 20 milligram(s),['omeprazole'],Ulcesep Capsules 20mg,DRUGS FOR ACID RELATED DISORDERS,A02BC01,HARD CAPSULE,Authorised
11,OMEPRAZOLE 20 milligram(s),['omeprazole'],Lomex-T,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT TABLET,Withdrawn
12,OMEPRAZOLE 20 milligram(s),['omeprazole'],Eselan,DRUGS FOR ACID RELATED DISORDERS,A02BC01,HARD CAPSULE,Withdrawn
13,OMEPRAZOLE 20 milligram(s),['omeprazole'],"Omeprazole Mylan  20mg gastro-resistant capsules, hard",DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Withdrawn
14,OMEPRAZOLE 10 milligram(s),['omeprazole'],"Omeprazole Aurobindo 10mg gastro-resistant capsules, hard",DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Authorised
15,OMEPRAZOLE 20 milligram(s),['omeprazole'],"Omeprazole Aurobindo 20mg gastro-resistant capsules, hard",DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Authorised
16,OMEPRAZOLE 40 milligram(s),['omeprazole'],"Omeprazole Aurobindo 40mg gastro-resistant capsules, hard",DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Authorised
17,OMEPRAZOLE 40 milligram(s),['omeprazole'],Omeprazole 40mg powder for solution for infusion,DRUGS FOR ACID RELATED DISORDERS,A02BC01,POWDER FOR SOLUTION FOR INFUSION,Withdrawn
18,OMEPRAZOLE 40 milligram(s),['omeprazole'],Omeprazole Pdr for Soln for Infusion 40mg,DRUGS FOR ACID RELATED DISORDERS,A02BC01,POWDER FOR SOLUTION FOR INFUSION,Authorised
19,OMEPRAZOLE 40 milligram(s),['omeprazole'],Omeprazole 40mg Powder for Solution for Infusion,DRUGS FOR ACID RELATED DISORDERS,A02BC01,POWDER FOR SOLUTION FOR INFUSION,Withdrawn
20,OMEPRAZOLE 20 milligram(s),['omeprazole'],Ompranyt Capsules Gastro-Resistant 20mg,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT CAPSULE,Withdrawn
21,OMEPRAZOLE 20 milligram(s),['omeprazole'],Remeprazole 20 Capsules,DRUGS FOR ACID RELATED DISORDERS,A02BC01,CAPSULE,Withdrawn
22,OMEPRAZOLE 20 milligram(s),['omeprazole'],Sopral 20mg gastro-resistant hard capsules,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Authorised
23,OMEPRAZOLE 20 milligram(s),['omeprazole'],Losamel Tablets Gastro Resistant 20mg,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT CAPSULE,Withdrawn
24,OMEPRAZOLE 20 milligram(s),['omeprazole'],Glaveral Gastro-Resistant Hard Capsules 20mg,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Withdrawn
25,OMEPRAZOLE 20 milligram(s),['omeprazole'],Omeprazole 20mg Capsules,DRUGS FOR ACID RELATED DISORDERS,A02BC01,HARD CAPSULE,Withdrawn
26,OMEPRAZOLE 40 milligram(s),['omeprazole'],Omeprazole 40mg,DRUGS FOR ACID RELATED DISORDERS,A02BC01,POWDER FOR SOLUTION FOR INFUSION,Withdrawn
27,OMEPRAZOLE 20 milligram(s),['omeprazole'],Omeprazole 20mg Capsules,DRUGS FOR ACID RELATED DISORDERS,A02BC01,HARD CAPSULE,Withdrawn
28,OMEPRAZOLE 10 milligram(s),['omeprazole'],Omeprazole 10mg Capsules,DRUGS FOR ACID RELATED DISORDERS,A02BC01,CAPSULE,Withdrawn
29,OMEPRAZOLE 20 milligram(s),['omeprazole'],Omeprazole 20mg Capsules,DRUGS FOR ACID RELATED DISORDERS,A02BC01,CAPSULE,Withdrawn
30,OMEPRAZOLE 20 milligram(s),['omeprazole'],Omeprazole Capsules Gastro-Resistant 20mg,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Authorised
31,OMEPRAZOLE 20 milligram(s),['omeprazole'],Omeprazol - 1A Pharma,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Withdrawn
32,OMEPRAZOLE 20 milligram(s),['omeprazole'],Omeprazole Capsules Hard 20mg,DRUGS FOR ACID RELATED DISORDERS,A02BC01,HARD CAPSULE,Invalid
33,OMEPRAZOLE 20 milligram(s),['omeprazole'],Omeprazole 20mg Gastro-Resistant Capsules,DRUGS FOR ACID RELATED DISORDERS,A02BC01,HARD CAPSULE,Withdrawn
34,OMEPRAZOLE 20 milligram(s),['omeprazole'],Omeprazole gastro-resistant Capsules Hard 20mg,DRUGS FOR ACID RELATED DISORDERS,A02BC01,GASTRO-RESISTANT HARD CAPSULE,Withdrawn
